3.464s | tick 1940 | track 1 | ch 2 | Note Off E2 (40) vel 111
3.550s | tick 1988 | track 1 | ch 2 | Note On E2 (40) vel 114
3.686s | tick 2064 | track 1 | ch 2 | Note On A#2 (46) vel 114
3.736s | tick 2092 | track 1 | ch 2 | Pitch Bend -256 (raw 7936)
3.743s | tick 2096 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
3.750s | tick 2100 | track 1 | ch 2 | Pitch Bend +128 (raw 8320)
3.757s | tick 2104 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
3.764s | tick 2108 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
3.771s | tick 2112 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
3.779s | tick 2116 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
3.786s | tick 2120 | track 1 | ch 2 | Pitch Bend +1792 (raw 9984)
3.793s | tick 2124 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
3.800s | tick 2128 | track 1 | ch 2 | Pitch Bend +256 (raw 8448)
3.871s | tick 2168 | track 1 | ch 2 | Pitch Bend +384 (raw 8576)
3.879s | tick 2172 | track 1 | ch 2 | Pitch Bend +640 (raw 8832)
3.886s | tick 2176 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
3.893s | tick 2180 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
3.900s | tick 2184 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
3.907s | tick 2188 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
3.914s | tick 2192 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
3.921s | tick 2196 | track 1 | ch 2 | Pitch Bend +2048 (raw 10240)
3.936s | tick 2204 | track 1 | ch 2 | Pitch Bend +1920 (raw 10112)
3.943s | tick 2208 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
3.950s | tick 2212 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
4.029s | tick 2256 | track 1 | ch 2 | Pitch Bend +128 (raw 8320)
4.036s | tick 2260 | track 1 | ch 2 | Pitch Bend +768 (raw 8960)
4.043s | tick 2264 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
4.050s | tick 2268 | track 1 | ch 2 | Pitch Bend +1024 (raw 9216)
4.057s | tick 2272 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
4.064s | tick 2276 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
4.071s | tick 2280 | track 1 | ch 2 | Pitch Bend +2048 (raw 10240)
4.079s | tick 2284 | track 1 | ch 2 | Pitch Bend +1920 (raw 10112)
4.086s | tick 2288 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
4.093s | tick 2292 | track 1 | ch 2 | Pitch Bend +384 (raw 8576)
4.100s | tick 2296 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
4.186s | tick 2344 | track 1 | ch 2 | Pitch Bend +768 (raw 8960)
4.193s | tick 2348 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
4.200s | tick 2352 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
